"Name","Team","Season","GP","TOI","W/GP","L/GP","OL/GP","ROW/GP","Points/GP","Points%","GF/GP","GA/GP","G±/GP","Sh%","Sv%"
"Wild","MIN","08-09",82,4986.9,0.49,0.4,0.11,NA,1.09,54.3,2.67,2.44,0.23,9.5,92.2
"Ducks","ANA","09-10",82,4995.9,0.48,0.39,0.13,NA,1.09,54.3,2.9,3.06,-0.16,9.4,91.1
"Stars","DAL","11-12",82,4989,0.51,0.43,0.06,0.43,1.09,54.3,2.57,2.71,-0.13,8.8,91.4
"Sabres","BUF","11-12",82,5010.6,0.48,0.39,0.13,0.39,1.09,54.3,2.66,2.8,-0.15,8.8,91.3
"Coyotes","ARI","13-14",82,5016.4,0.45,0.37,0.18,0.38,1.09,54.3,2.63,2.82,-0.18,8.4,91.2
"Sharks","S.J","14-15",82,4981.6,0.49,0.4,0.11,0.44,1.09,54.3,2.78,2.83,-0.05,8.6,90.7
"Blue Jackets","CBJ","14-15",82,4998.1,0.51,0.43,0.06,0.4,1.09,54.3,2.88,3.05,-0.17,9.6,91
"Jets","WPG","21-22",82,4977.1,0.48,0.39,0.13,0.45,1.09,54.3,3.07,3.13,-0.06,9.5,90.7
"Utah","UTA","24-25",82,4994.2,0.46,0.38,0.16,0.45,1.09,54.3,2.94,3.06,-0.12,10.3,89.1
"Blue Jackets","CBJ","24-25",82,4980.2,0.49,0.4,0.11,0.41,1.09,54.3,3.33,3.27,0.06,11.2,89.1
"Predators","NSH","08-09",82,4996,0.49,0.41,0.1,NA,1.07,53.7,2.6,2.84,-0.24,8.7,90.5
"Flyers","PHI","09-10",82,4969.3,0.5,0.43,0.07,NA,1.07,53.7,2.88,2.74,0.13,9,90.5
"Canadiens","MTL","09-10",82,5016,0.48,0.4,0.12,NA,1.07,53.7,2.65,2.72,-0.07,9,91.7
"Stars","DAL","09-10",82,4958,0.45,0.38,0.17,NA,1.07,53.7,2.89,3.1,-0.21,9.1,90.5
"Avalanche","COL","11-12",82,5006.5,0.5,0.43,0.07,0.39,1.07,53.7,2.54,2.68,-0.15,7.7,91
"Predators","NSH","13-14",82,4989.9,0.46,0.39,0.15,0.44,1.07,53.7,2.63,2.95,-0.32,9,90.1
"Devils","N.J","13-14",82,5014.6,0.43,0.35,0.22,0.43,1.07,53.7,2.4,2.54,-0.13,9,90.7
"Senators","OTT","13-14",82,5008.7,0.45,0.38,0.17,0.37,1.07,53.7,2.88,3.23,-0.35,8.5,90.9
"Flyers","PHI","16-17",82,5007.7,0.48,0.4,0.12,0.39,1.07,53.7,2.67,2.88,-0.21,8.2,90.1
"Penguins","PIT","23-24",82,4971.5,0.46,0.39,0.15,0.44,1.07,53.7,3.11,3.06,0.05,9.4,90
"Rangers","NYR","20-21",56,3390.4,0.48,0.41,0.11,0.46,1.07,53.6,3.16,2.8,0.36,10.9,90.7
"Stars","DAL","20-21",56,3435.2,0.41,0.34,0.25,0.38,1.07,53.6,2.82,2.75,0.07,9.2,90.3
"Jets","WPG","12-13",48,2917.4,0.5,0.44,0.06,0.46,1.06,53.1,2.67,3,-0.33,9.1,90.1
"Coyotes","ARI","12-13",48,2945.2,0.44,0.38,0.19,0.35,1.06,53.1,2.6,2.73,-0.12,8.2,91.5
"Wild","MIN","23-24",82,4984.2,0.48,0.41,0.11,0.44,1.06,53,3.06,3.21,-0.15,10,89.3
"Flyers","PHI","23-24",82,4976.9,0.46,0.4,0.13,0.41,1.06,53,2.87,3.18,-0.32,8.5,88.4
"Rangers","NYR","09-10",82,4977.1,0.46,0.4,0.13,NA,1.06,53,2.71,2.66,0.05,9,91.3
"Blues","STL","10-11",82,4987.8,0.46,0.4,0.13,0.41,1.06,53,2.93,2.85,0.07,9.5,90
"Wild","MIN","15-16",82,4978.5,0.46,0.4,0.13,0.43,1.06,53,2.63,2.51,0.12,9,91.3
"Jets","WPG","16-17",82,4964.8,0.49,0.43,0.09,0.45,1.06,53,3.04,3.12,-0.09,10,90
"Hurricanes","CAR","16-17",82,4993.1,0.44,0.38,0.18,0.4,1.06,53,2.62,2.88,-0.26,8.5,90.1
"Coyotes","ARI","19-20",70,4260.1,0.47,0.41,0.11,0.4,1.06,52.9,2.79,2.67,0.11,8.6,91.9
"Canadiens","MTL","20-21",56,3409.2,0.43,0.38,0.2,0.41,1.05,52.7,2.84,3,-0.16,9,89.6
"Red Wings","DET","24-25",82,4974,0.48,0.43,0.1,0.44,1.05,52.4,2.9,3.16,-0.26,10.4,88.9
"Wild","MIN","10-11",82,4985.2,0.48,0.43,0.1,0.44,1.05,52.4,2.51,2.84,-0.33,9.5,91.3
"Hurricanes","CAR","15-16",82,5004.6,0.43,0.38,0.2,0.4,1.05,52.4,2.41,2.76,-0.34,8,90.2
"Kings","L.A","16-17",82,4978.5,0.48,0.43,0.1,0.45,1.05,52.4,2.45,2.5,-0.05,7.8,90.5
"Coyotes","ARI","18-19",82,4980.4,0.48,0.43,0.1,0.43,1.05,52.4,2.6,2.72,-0.12,8.3,91.3
"Panthers","FLA","18-19",82,4999.2,0.44,0.39,0.17,0.4,1.05,52.4,3.26,3.41,-0.16,9.8,89.2
"Senators","OTT","22-23",82,4965.3,0.48,0.43,0.1,0.45,1.05,52.4,3.18,3.3,-0.12,9.4,89.5
"Rangers","NYR","24-25",82,4949.8,0.48,0.44,0.09,0.46,1.04,51.8,3.12,3.11,0.01,10.9,89.6
"Oilers","EDM","08-09",82,4985,0.46,0.43,0.11,NA,1.04,51.8,2.85,3.02,-0.17,9.9,90.9
"Maple Leafs","TOR","10-11",82,4994.7,0.45,0.41,0.13,0.39,1.04,51.8,2.66,3.06,-0.4,9,90.4
"Senators","OTT","15-16",82,5003.6,0.46,0.43,0.11,0.39,1.04,51.8,2.88,3.01,-0.13,9.9,91
"Flyers","PHI","20-21",56,3420.8,0.45,0.41,0.14,0.39,1.04,51.8,2.91,3.59,-0.68,9.5,88
"Blackhawks","CHI","19-20",70,4256,0.46,0.43,0.11,0.4,1.03,51.4,3.03,3.11,-0.09,9.3,91.3
"Sabres","BUF","23-24",82,4958.4,0.48,0.45,0.07,0.45,1.02,51.2,3,2.98,0.02,9.6,89.9
"Wild","MIN","09-10",82,4994.9,0.46,0.44,0.1,NA,1.02,51.2,2.67,3,-0.33,9.4,90.1
"Lightning","T.B","11-12",82,4991,0.46,0.44,0.1,0.43,1.02,51.2,2.87,3.43,-0.56,10.4,88.9
"Jets","WPG","11-12",82,4985.5,0.45,0.43,0.12,0.4,1.02,51.2,2.74,3,-0.26,8.9,90.2
"Jets","WPG","13-14",82,5013,0.45,0.43,0.12,0.35,1.02,51.2,2.77,2.89,-0.12,8.7,90.7
"Maple Leafs","TOR","13-14",82,5007.2,0.46,0.44,0.1,0.35,1.02,51.2,2.82,3.12,-0.3,9.7,91.4
"Flyers","PHI","14-15",82,5021.4,0.4,0.38,0.22,0.37,1.02,51.2,2.62,2.85,-0.23,8.8,91
"Devils","N.J","15-16",82,4991.3,0.46,0.44,0.1,0.44,1.02,51.2,2.24,2.54,-0.29,9.1,91.4
"Flames","CGY","17-18",82,4979.8,0.45,0.43,0.12,0.43,1.02,51.2,2.66,3.02,-0.37,7.8,90.5
"Blackhawks","CHI","18-19",82,4979.3,0.44,0.41,0.15,0.4,1.02,51.2,3.29,3.56,-0.27,10,89.8
"Islanders","NYI","21-22",82,4970.2,0.45,0.43,0.12,0.43,1.02,51.2,2.82,2.89,-0.07,9.7,91.3
"Flyers","PHI","12-13",48,2900.9,0.48,0.46,0.06,0.46,1.02,51,2.77,2.94,-0.17,9.5,89.9
"Senators","OTT","08-09",82,4993.5,0.44,0.43,0.13,NA,1.01,50.6,2.65,2.89,-0.24,8.9,90.1
"Stars","DAL","08-09",82,5004.6,0.44,0.43,0.13,NA,1.01,50.6,2.8,3.13,-0.33,9.5,89.1
"Thrashers","ATL","09-10",82,4988,0.43,0.41,0.16,NA,1.01,50.6,2.85,3.12,-0.27,9.5,90.8
"Hurricanes","CAR","13-14",82,4979.1,0.44,0.43,0.13,0.41,1.01,50.6,2.52,2.8,-0.28,8,91.1
