"Name","Team","Season","GP","TOI","FF/60","FA/60","xGF/FF","xGA/FA","RF/60","RA/60","QF/60","QA/60","R±/60","Q±/60","Sh±/60","Sv±/60","G±/60"
"Predators","NSH","13-14",82,4115.42,-1.51,-0.69,-0.0019,-0.0065,-0.08,-0.04,-0.07,-0.26,-0.05,0.19,0.17,-0.6,-0.3
"Maple Leafs","TOR","13-14",82,4074.5,-3.79,10.61,-0.0011,-0.0032,-0.21,0.59,-0.04,-0.16,-0.8,0.12,0.2,0.18,-0.3
"Thrashers","ATL","10-11",82,4067.63,0.64,1.12,-0.0006,0.0043,0.04,0.06,-0.03,0.18,-0.03,-0.21,-0.13,0.06,-0.31
"Blue Jackets","CBJ","10-11",82,3965.03,-0.79,-1.18,-0.0004,-0.0006,-0.04,-0.07,-0.02,-0.02,0.02,0.01,-0.03,-0.31,-0.31
"Devils","N.J","15-16",82,4016.63,-7.76,-3.06,0.0051,0.0028,-0.43,-0.17,0.16,0.11,-0.26,0.06,-0.23,0.11,-0.31
"Canucks","VAN","22-23",82,4088.43,-4.3,0.15,0.0027,0.0039,-0.27,0.01,0.1,0.16,-0.28,-0.06,0.15,-0.12,-0.31
"Kings","L.A","19-20",70,3523.87,3.04,-0.93,-0.0043,-0.001,0.18,-0.06,-0.19,-0.04,0.24,-0.15,-0.37,-0.03,-0.32
"Flyers","PHI","12-13",48,2281.02,-0.66,2.1,-0.0019,-0.0006,-0.04,0.12,-0.07,-0.02,-0.16,-0.05,0.14,-0.26,-0.33
"Coyotes","ARI","17-18",82,4162.87,-2.51,3.67,-0.0024,-0.0023,-0.14,0.21,-0.1,-0.11,-0.35,0.01,-0.05,0.07,-0.33
"Red Wings","DET","24-25",82,4200.5,-2.45,0.92,0.0019,0.0032,-0.15,0.06,0.07,0.14,-0.2,-0.06,-0.3,0.24,-0.33
"Devils","N.J","12-13",48,2346.82,-2.19,-9.13,0.0005,0.0009,-0.12,-0.52,0.02,0.03,0.39,-0.01,-0.51,-0.21,-0.34
"Flyers","PHI","16-17",82,4062.02,0.27,-1.84,-0.0008,0.0027,0.01,-0.1,-0.03,0.1,0.12,-0.14,-0.29,-0.03,-0.34
"Islanders","NYI","09-10",81,3890.58,-0.34,2.55,0.005,0.0034,-0.02,0.15,0.2,0.15,-0.17,0.05,-0.23,-0.01,-0.35
"Hurricanes","CAR","17-18",82,4196.48,3.07,-2.65,-0.0004,0.0012,0.18,-0.15,-0.02,0.05,0.33,-0.07,-0.27,-0.35,-0.35
"Senators","OTT","22-23",82,3886.87,2.91,0.19,0.0016,0.002,0.18,0.01,0.07,0.08,0.17,-0.01,-0.38,-0.12,-0.35
"Canadiens","MTL","24-25",82,4075.98,-3.01,2.31,0.0086,0.0077,-0.18,0.14,0.33,0.34,-0.32,-0.01,-0.15,0.13,-0.35
"Kings","L.A","08-09",82,3769.95,0.1,-0.9,-0.003,-0.0047,0.01,-0.05,-0.12,-0.18,0.06,0.06,-0.33,-0.16,-0.37
"Wild","MIN","10-11",82,3969.78,-5.73,2.63,-0.0046,-0.0048,-0.32,0.15,-0.16,-0.21,-0.47,0.05,0.15,-0.09,-0.37
"Red Wings","DET","17-18",82,4102.82,-1.71,-0.36,-0.001,0.0007,-0.1,-0.02,-0.04,0.03,-0.08,-0.07,-0.08,-0.13,-0.37
"Coyotes","ARI","18-19",82,4078.72,-0.85,0.48,-0.0028,-0.0031,-0.05,0.03,-0.12,-0.14,-0.08,0.02,-0.31,0,-0.37
"Panthers","FLA","18-19",82,4108.18,-0.39,-0.27,-0.0039,0.0012,-0.02,-0.02,-0.16,0.05,-0.01,-0.22,0.15,-0.3,-0.38
"Devils","N.J","20-21",56,2816.3,-0.2,1.22,-0.0041,-0.0038,-0.01,0.07,-0.16,-0.16,-0.09,0,0.05,-0.33,-0.38
"Blue Jackets","CBJ","23-24",82,4128.25,-0.26,4.52,0.0001,0.0043,-0.02,0.28,0,0.2,-0.29,-0.19,0.08,0.02,-0.38
"Red Wings","DET","16-17",82,4133.75,-2.77,0.68,0.001,0.0017,-0.16,0.04,0.04,0.07,-0.19,-0.03,-0.02,-0.14,-0.39
"Devils","N.J","10-11",82,4098.9,-3.53,-6.22,-0.0028,-0.0022,-0.2,-0.35,-0.1,-0.08,0.15,-0.03,-0.2,-0.32,-0.4
"Oilers","EDM","12-13",48,2321.97,-3.15,5.44,0.0014,0.0026,-0.18,0.31,0.05,0.12,-0.49,-0.07,-0.04,0.2,-0.4
"Ducks","ANA","19-20",71,3558.52,-0.8,3.06,-0.0035,-0.0009,-0.05,0.18,-0.14,-0.04,-0.23,-0.1,-0.12,0.05,-0.4
"Panthers","FLA","11-12",82,4118.27,-1.38,0.02,-0.0068,-0.0021,-0.08,0,-0.27,-0.09,-0.08,-0.18,-0.11,-0.04,-0.41
"Kings","L.A","18-19",82,4159.4,-3.53,1.69,-0.0017,-0.0029,-0.21,0.1,-0.07,-0.13,-0.31,0.06,-0.14,-0.02,-0.41
"Senators","OTT","23-24",82,4036.98,0.8,-0.56,0.0001,0.0032,0.05,-0.03,0,0.13,0.08,-0.13,-0.03,-0.33,-0.41
"Hurricanes","CAR","11-12",82,4059.73,0.89,4.32,0.0023,0.0044,0.05,0.24,0.09,0.19,-0.19,-0.1,-0.33,0.19,-0.42
"Canucks","VAN","17-18",82,4078.33,-3.37,1.35,-0.0026,-0.0003,-0.19,0.08,-0.1,-0.01,-0.27,-0.09,-0.03,-0.02,-0.42
"Red Wings","DET","18-19",82,4150.83,-3.7,2.81,-0.0016,0.001,-0.22,0.17,-0.06,0.04,-0.39,-0.11,0.02,0.05,-0.42
"Flyers","PHI","18-19",82,4074.53,-1.73,1.61,-0.0006,-0.0016,-0.1,0.1,-0.03,-0.07,-0.2,0.05,0.15,-0.42,-0.42
"Lightning","T.B","08-09",82,3769.67,-3.19,2.17,-0.0031,-0.0058,-0.18,0.13,-0.11,-0.25,-0.31,0.13,0.05,-0.3,-0.43
"Sabres","BUF","15-16",82,4106.38,-2.83,2.22,-0.0022,-0.0038,-0.16,0.12,-0.08,-0.16,-0.28,0.08,-0.12,-0.12,-0.43
"Hurricanes","CAR","16-17",82,4186.9,0.25,-0.22,0.0047,0.004,0.01,-0.01,0.19,0.16,0.03,0.03,-0.38,-0.11,-0.43
"Coyotes","ARI","20-21",56,2751.82,-1.64,1.24,-0.0035,-0.004,-0.1,0.08,-0.14,-0.17,-0.18,0.03,-0.03,-0.25,-0.43
"Lightning","T.B","09-10",82,3879.98,-3.02,1.36,0.0004,-0.0012,-0.17,0.08,0.01,-0.05,-0.25,0.06,-0.02,-0.23,-0.44
"Hurricanes","CAR","15-16",82,4177.77,0.32,-0.64,0.0046,0.0069,0.02,-0.04,0.19,0.27,0.05,-0.09,-0.41,0,-0.44
"Rangers","NYR","18-19",82,4096.52,-4.23,3.14,0.0038,0.0002,-0.25,0.19,0.14,0.01,-0.44,0.13,-0.18,0.05,-0.44
"Flyers","PHI","23-24",82,4045.02,2.86,-3.11,-0.0004,0.0018,0.17,-0.19,-0.02,0.07,0.36,-0.09,-0.3,-0.42,-0.44
"Rangers","NYR","17-18",82,4099.4,-2.91,5.05,0.0066,0.0022,-0.17,0.29,0.26,0.11,-0.46,0.16,-0.26,0.11,-0.45
"Avalanche","COL","10-11",82,3981.57,-2.97,2.9,0.0027,-0.0027,-0.17,0.16,0.1,-0.12,-0.33,0.22,0.02,-0.36,-0.46
"Canucks","VAN","18-19",82,4090.13,-2.6,1.43,-0.0047,-0.0009,-0.15,0.08,-0.19,-0.04,-0.24,-0.14,0.05,-0.12,-0.46
"Blue Jackets","CBJ","21-22",82,4119.18,-1.45,5.07,-0.0048,-0.001,-0.09,0.32,-0.19,-0.05,-0.41,-0.14,0.4,-0.31,-0.46
