"Name","Team","Season","GP","TOI","FF/60","FA/60","xGF/FF","xGA/FA","RF/60","RA/60","QF/60","QA/60","R±/60","Q±/60","Sh±/60","Sv±/60","G±/60"
"Canucks","VAN","21-22",82,4129.77,-0.09,-0.02,-0.0035,-0.0024,-0.01,0,-0.15,-0.1,0,-0.05,-0.06,0.32,0.21
"Wild","MIN","13-14",82,4099.32,-4.71,-2.96,-0.0038,-0.007,-0.26,-0.16,-0.14,-0.26,-0.1,0.13,0.15,0.02,0.2
"Penguins","PIT","14-15",82,4036.53,2.19,-3.86,-0.001,0.0013,0.12,-0.21,-0.04,0.05,0.34,-0.09,-0.03,-0.01,0.2
"Golden Knights","VGK","18-19",82,4093.53,3.85,-4.14,0.0018,0.0002,0.23,-0.25,0.08,0.01,0.47,0.07,-0.22,-0.13,0.2
"Predators","NSH","21-22",82,4001.43,-0.49,-0.68,-0.0053,-0.0057,-0.03,-0.04,-0.22,-0.24,0.01,0.02,0.27,-0.1,0.2
"Rangers","NYR","10-11",82,3999.18,-0.92,-1.09,0.015,0.0067,-0.05,-0.06,0.6,0.27,0.01,0.33,-0.55,0.4,0.19
"Capitals","WSH","12-13",48,2359.03,-0.8,1.26,0.0001,-0.0011,-0.05,0.07,0,-0.05,-0.12,0.05,0.18,0.08,0.19
"Wild","MIN","17-18",82,4069.57,-3.2,-0.81,0.0002,-0.0092,-0.18,-0.05,0.01,-0.39,-0.14,0.4,0.17,-0.25,0.19
"Kings","L.A","22-23",82,4061.6,2.19,-4.25,-0.0019,0.0023,0.14,-0.27,-0.09,0.09,0.4,-0.17,-0.08,0.03,0.19
"Hurricanes","CAR","24-25",82,4038.08,8.5,-5.58,0.0018,0.0091,0.51,-0.33,0.09,0.33,0.84,-0.24,-0.39,-0.03,0.19
"Ducks","ANA","16-17",82,3995.45,0.28,-0.71,0.0039,0.0002,0.02,-0.04,0.16,0.01,0.06,0.15,-0.19,0.17,0.18
"Rangers","NYR","20-21",56,2751.93,-2.31,1.12,-0.0025,-0.0038,-0.14,0.07,-0.09,-0.16,-0.21,0.06,0.4,-0.07,0.18
"Rangers","NYR","23-24",82,4100,0.95,-0.35,-0.0019,0.0036,0.06,-0.02,-0.08,0.15,0.08,-0.23,0.09,0.24,0.18
"Devils","N.J","09-10",82,4093.77,-1.83,-5,-0.0027,-0.0014,-0.11,-0.29,-0.11,-0.05,0.18,-0.06,-0.01,0.05,0.17
"Rangers","NYR","19-20",70,3386.77,-0.52,3.86,-0.0005,0.0004,-0.03,0.23,-0.02,0.02,-0.26,-0.04,0.34,0.13,0.17
"Golden Knights","VGK","19-20",71,3579.07,4.43,-3.6,0.0022,-0.0009,0.27,-0.22,0.1,-0.03,0.48,0.14,-0.21,-0.24,0.17
"Oilers","EDM","21-22",82,4109.62,2.61,-0.71,0.0007,0.0007,0.16,-0.04,0.03,0.03,0.21,0,-0.04,0.01,0.17
"Rangers","NYR","21-22",82,4155.72,-4.13,-0.76,-0.001,-0.0015,-0.26,-0.05,-0.04,-0.06,-0.21,0.02,0.07,0.28,0.17
"Islanders","NYI","23-24",82,4177.97,-0.06,2.2,0.0034,-0.001,0,0.13,0.14,-0.05,-0.14,0.19,-0.14,0.27,0.17
"Flames","CGY","08-09",81,3693.57,4.82,-1.34,-0.0029,-0.0024,0.28,-0.08,-0.13,-0.1,0.36,-0.04,0.23,-0.38,0.16
"Kings","L.A","09-10",82,3971.18,-0.95,-2.58,-0.0026,-0.0041,-0.05,-0.15,-0.1,-0.16,0.09,0.05,0.05,-0.04,0.16
"Kings","L.A","10-11",82,3989.47,-0.04,-2.38,-0.0031,-0.0041,0,-0.13,-0.13,-0.16,0.13,0.03,0.09,-0.09,0.16
"Blues","STL","16-17",82,4052.95,-1.86,-2.99,-0.0015,-0.0018,-0.1,-0.17,-0.06,-0.07,0.06,0.01,0.23,-0.14,0.16
"Flyers","PHI","17-18",82,4136.07,-1.54,-1.4,0.0002,0,-0.09,-0.08,0.01,0,-0.01,0.01,0.07,0.09,0.16
"Hurricanes","CAR","18-19",82,4079.05,6.45,-2.81,0.0033,0.0019,0.38,-0.17,0.16,0.08,0.55,0.09,-0.59,0.11,0.16
"Sharks","S.J","18-19",82,4107.57,3.27,-4.8,0.0006,0.003,0.19,-0.28,0.03,0.11,0.48,-0.09,0.23,-0.45,0.16
"Jets","WPG","18-19",82,4061.98,-0.23,1.36,-0.0038,-0.0011,-0.01,0.08,-0.16,-0.05,-0.09,-0.11,0.29,0.07,0.16
"Sabres","BUF","23-24",82,4089.03,-0.03,-0.44,-0.0016,0.0051,0,-0.03,-0.07,0.21,0.02,-0.28,0.12,0.29,0.16
"Canucks","VAN","12-13",48,2356.67,-0.64,-2.19,-0.0012,0.0013,-0.04,-0.12,-0.05,0.05,0.09,-0.1,0.05,0.11,0.15
"Red Wings","DET","14-15",82,3998.65,-1.3,-4.77,-0.0004,0.0006,-0.07,-0.26,-0.02,0.02,0.19,-0.04,-0.03,0.03,0.15
"Islanders","NYI","15-16",82,4173.65,-0.14,0.34,0.0057,0.0077,-0.01,0.02,0.23,0.31,-0.03,-0.08,-0.07,0.33,0.15
"Maple Leafs","TOR","16-17",82,4098.17,4.02,3.51,0.0053,0.0027,0.23,0.2,0.24,0.12,0.03,0.12,-0.16,0.17,0.15
"Sharks","S.J","08-09",82,3910.17,2.77,-5.22,-0.0017,-0.0002,0.16,-0.3,-0.07,-0.01,0.46,-0.07,-0.28,0.02,0.14
"Sabres","BUF","09-10",82,3943.72,1.59,1.02,-0.0036,-0.0015,0.09,0.06,-0.15,-0.06,0.03,-0.09,0.16,0.04,0.14
"Flames","CGY","10-11",82,3981.43,0.73,-3.02,-0.0028,-0.0062,0.04,-0.17,-0.11,-0.24,0.21,0.12,0.21,-0.4,0.14
"Stars","DAL","15-16",82,4056.32,4.92,0.59,0.0045,0.0049,0.27,0.03,0.2,0.2,0.24,0,-0.14,0.03,0.14
"Maple Leafs","TOR","19-20",70,3548.12,3.47,0.81,-0.0012,-0.0015,0.21,0.05,-0.05,-0.07,0.16,0.01,0.17,-0.2,0.14
"Lightning","T.B","22-23",82,4035.28,1.5,-0.96,0.0038,0.0042,0.09,-0.06,0.17,0.17,0.15,-0.01,-0.25,0.25,0.14
"Hurricanes","CAR","08-09",82,3835.7,4.84,0.56,-0.0022,0.0007,0.28,0.03,-0.1,0.03,0.25,-0.13,-0.2,0.21,0.13
"Rangers","NYR","13-14",82,4078.6,3.73,-0.65,0.0021,0.005,0.21,-0.04,0.09,0.2,0.24,-0.1,-0.38,0.37,0.13
"Hurricanes","CAR","19-20",68,3310.67,3.41,-2.72,0.0021,0.0053,0.2,-0.16,0.1,0.21,0.37,-0.11,-0.12,-0.01,0.13
"Stars","DAL","20-21",56,2862.6,-0.13,-3.3,-0.0053,-0.0069,-0.01,-0.2,-0.21,-0.26,0.19,0.05,-0.02,-0.08,0.13
"Panthers","FLA","08-09",82,3904.92,-1.03,5.91,-0.0006,-0.0048,-0.06,0.34,-0.02,-0.22,-0.4,0.2,0.17,0.15,0.12
"Avalanche","COL","09-10",82,3944.65,-4.36,1.58,0.0015,-0.0035,-0.25,0.09,0.06,-0.15,-0.34,0.2,0.26,0,0.12
"Predators","NSH","09-10",82,4059.1,1.04,-1.54,-0.0032,-0.0005,0.06,-0.09,-0.14,-0.02,0.15,-0.11,0.03,0.06,0.12
"Lightning","T.B","12-13",48,2341.43,-2.26,3.4,-0.0017,-0.0058,-0.13,0.19,-0.06,-0.25,-0.32,0.19,0.67,-0.41,0.12
"Bruins","BOS","14-15",82,4189,1.09,-0.96,-0.0034,-0.005,0.06,-0.05,-0.14,-0.2,0.11,0.06,0.01,-0.06,0.12
"Islanders","NYI","16-17",82,4135.13,-0.35,2.73,0.0051,0.0044,-0.02,0.15,0.21,0.19,-0.17,0.01,0.2,0.08,0.12
"Canadiens","MTL","19-20",71,3559.77,5.03,-2.29,-0.0018,-0.0024,0.3,-0.14,-0.08,-0.09,0.44,0.01,-0.07,-0.26,0.12
"Oilers","EDM","24-25",82,4163.83,4.31,-3.28,0.0052,0.0044,0.26,-0.2,0.24,0.17,0.45,0.07,-0.33,-0.07,0.12
"Blue Jackets","CBJ","12-13",48,2417.55,-5.47,0.24,-0.0048,-0.0044,-0.31,0.01,-0.16,-0.18,-0.32,0.01,0.37,0.05,0.11
"Blue Jackets","CBJ","13-14",82,3972.62,-0.98,-1.85,-0.0033,-0.0062,-0.05,-0.1,-0.13,-0.24,0.05,0.11,0.21,-0.25,0.11
"Penguins","PIT","13-14",82,4065.25,-1.7,-1.64,-0.0023,-0.0044,-0.09,-0.09,-0.09,-0.17,0,0.08,0.28,-0.24,0.11
"Senators","OTT","15-16",82,4103.55,-2.24,3.59,0.0034,0.0005,-0.12,0.2,0.13,0.02,-0.32,0.11,0.12,0.2,0.11
"Stars","DAL","10-11",82,3963.55,-3.23,0.37,-0.003,-0.0032,-0.18,0.02,-0.11,-0.13,-0.2,0.02,0.24,0.04,0.1
"Canadiens","MTL","10-11",82,3915.35,2.89,-0.64,-0.0032,0.0021,0.16,-0.04,-0.14,0.08,0.2,-0.22,-0.14,0.26,0.1
"Sharks","S.J","11-12",82,4145.07,4.02,-1.2,-0.002,-0.0036,0.23,-0.07,-0.09,-0.14,0.29,0.05,-0.3,0.05,0.1
"Stars","DAL","13-14",82,4018.52,2.51,1,0.0016,0.0034,0.14,0.06,0.07,0.14,0.08,-0.07,-0.03,0.12,0.1
"Flyers","PHI","15-16",82,4025.33,0.77,0.77,0.0009,0.0037,0.04,0.04,0.04,0.15,0,-0.11,-0.2,0.41,0.1
"Red Wings","DET","10-11",82,3983.2,4.92,0.06,-0.0038,-0.0012,0.28,0,-0.17,-0.05,0.27,-0.13,0.21,-0.26,0.09
"Stars","DAL","18-19",82,4124.15,-2.7,-0.43,0.0011,-0.0041,-0.16,-0.03,0.04,-0.17,-0.13,0.22,-0.28,0.29,0.09
"Utah","UTA","24-25",82,4125.08,3.14,-2.51,0.0036,0.0047,0.19,-0.15,0.16,0.18,0.34,-0.02,-0.37,0.15,0.09
"Capitals","WSH","11-12",82,4078.85,-1.99,0.09,-0.0026,-0.0045,-0.11,0.01,-0.1,-0.18,-0.12,0.08,0.28,-0.16,0.08
"Senators","OTT","14-15",82,4056.6,0.17,1.9,0.0019,-0.0029,0.01,0.11,0.08,-0.12,-0.1,0.2,0.02,-0.05,0.08
"Flames","CGY","20-21",56,2727.12,1.91,-2.28,-0.0043,-0.0054,0.12,-0.14,-0.18,-0.2,0.26,0.02,0.11,-0.3,0.08
"Flames","CGY","22-23",82,4039.75,7.08,-4.93,-0.0014,0.0059,0.44,-0.31,-0.07,0.22,0.75,-0.29,-0.23,-0.16,0.08
"Predators","NSH","11-12",82,4140.5,-3.09,1.07,0.0008,-0.0047,-0.17,0.06,0.03,-0.2,-0.23,0.23,0.19,-0.11,0.07
"Bruins","BOS","15-16",82,4067.43,1.68,1.96,-0.0028,-0.0019,0.09,0.11,-0.12,-0.08,-0.02,-0.04,0.25,-0.13,0.07
"Kings","L.A","21-22",82,4113.32,4.45,-3.83,-0.0028,0.0026,0.28,-0.24,-0.13,0.1,0.52,-0.23,-0.37,0.15,0.06
"Jets","WPG","11-12",82,4044.35,2.52,0.57,0.0017,0.0032,0.14,0.03,0.07,0.13,0.11,-0.06,-0.06,0.06,0.05
"Avalanche","COL","17-18",82,3924.58,-2.78,1.69,-0.0051,-0.0037,-0.16,0.1,-0.2,-0.16,-0.26,-0.04,0.35,0,0.05
"Sabres","BUF","08-09",82,3840.05,0.32,0.62,-0.0056,-0.0077,0.02,0.04,-0.23,-0.32,-0.02,0.09,0.3,-0.33,0.04
"Oilers","EDM","08-09",82,3805.68,-2.14,3.28,0.0011,-0.0016,-0.12,0.19,0.04,-0.07,-0.31,0.11,0.14,0.1,0.04
"Ducks","ANA","09-10",82,3939.43,-1.05,3.89,-0.0016,-0.0004,-0.06,0.22,-0.06,-0.02,-0.28,-0.05,0.08,0.29,0.04
"Rangers","NYR","09-10",82,3921.12,-0.02,0.23,0.0073,0.0095,0,0.01,0.3,0.39,-0.01,-0.09,-0.35,0.5,0.04
"Sabres","BUF","11-12",82,4112.8,-1.47,1.55,-0.002,-0.0017,-0.08,0.09,-0.08,-0.07,-0.17,-0.01,0.16,0.06,0.04
"Wild","MIN","15-16",82,4088.97,-2.3,0.08,0,-0.0036,-0.13,0,0,-0.15,-0.13,0.15,-0.02,0.04,0.04
"Jets","WPG","15-16",82,3981.22,0.62,-1.21,0.004,0.0061,0.03,-0.07,0.16,0.24,0.1,-0.07,-0.14,0.15,0.04
"Stars","DAL","19-20",69,3414.7,-1.9,-0.56,0.0012,-0.0061,-0.11,-0.03,0.05,-0.25,-0.08,0.3,-0.41,0.23,0.04
"Wild","MIN","22-23",82,4095.95,-0.3,-1.23,-0.0022,-0.0028,-0.02,-0.08,-0.09,-0.12,0.06,0.02,-0.3,0.26,0.04
"Rangers","NYR","24-25",82,4102.78,0.69,2.38,0.0015,0.005,0.04,0.14,0.06,0.22,-0.1,-0.16,0.16,0.14,0.04
"Coyotes","ARI","12-13",48,2371.98,3.78,2.35,-0.0044,-0.0011,0.21,0.13,-0.19,-0.05,0.08,-0.15,-0.06,0.16,0.03
"Lightning","T.B","10-11",82,3928.47,2.29,-2.83,-0.0001,-0.0045,0.13,-0.16,-0.01,-0.17,0.29,0.17,-0.01,-0.43,0.02
"Canadiens","MTL","13-14",82,3967.52,-1.3,1.65,0.0011,0.0012,-0.07,0.09,0.04,0.05,-0.16,-0.01,-0.08,0.28,0.02
"Stars","DAL","14-15",82,3990.08,5.18,0.91,0.0027,0.0024,0.29,0.05,0.12,0.1,0.24,0.02,0.07,-0.31,0.02
"Flames","CGY","16-17",82,3992.88,-1.57,-1.71,-0.0007,0.0023,-0.09,-0.1,-0.03,0.09,0.01,-0.12,0.08,0.06,0.02
"Flames","CGY","09-10",82,3953.78,-0.05,-2.08,-0.007,-0.0059,0,-0.12,-0.28,-0.23,0.12,-0.06,0.07,-0.12,0.01
"Flyers","PHI","09-10",82,3854.13,2.26,-1.13,0.005,0.0022,0.13,-0.07,0.22,0.09,0.2,0.13,-0.36,0.05,0.01
"Blues","STL","10-11",82,4013.25,1.25,-2.77,-0.0018,0.0018,0.07,-0.16,-0.08,0.07,0.23,-0.15,0.19,-0.26,0.01
"Stars","DAL","12-13",48,2300.65,-2.07,2.72,0.0015,0.0032,-0.12,0.15,0.06,0.14,-0.27,-0.08,0.29,0.07,0.01
"Red Wings","DET","13-14",82,4011.73,-0.54,-3.25,-0.0035,-0.0006,-0.03,-0.18,-0.14,-0.02,0.15,-0.12,0.21,-0.24,0.01
"Blackhawks","CHI","19-20",70,3488.57,-0.71,2.38,0.0014,0.0037,-0.04,0.14,0.06,0.16,-0.19,-0.11,0.13,0.17,0.01
"Sabres","BUF","24-25",82,4079.33,-0.07,0.73,-0.0008,0.0049,0,0.04,-0.03,0.21,-0.05,-0.24,0.36,-0.07,0.01
"Penguins","PIT","23-24",82,4049.75,3.18,2.03,0.0036,0.0025,0.19,0.12,0.17,0.11,0.07,0.06,-0.22,0.1,0.01
"Blues","STL","09-10",82,3852.92,0.39,-0.14,-0.0016,0.0015,0.02,-0.01,-0.07,0.06,0.03,-0.13,0.06,0.04,0
"Senators","OTT","11-12",82,3996.93,2.79,2.14,-0.0028,0.0019,0.16,0.12,-0.12,0.08,0.04,-0.2,0.15,0.01,0
"Senators","OTT","12-13",48,2356.32,5.33,0.91,-0.0036,-0.004,0.3,0.05,-0.16,-0.16,0.25,0,-0.48,0.23,0
"Flames","CGY","14-15",82,4158.72,-4.61,2.44,0.0016,-0.0005,-0.26,0.14,0.06,-0.02,-0.39,0.08,0.3,0,0
"Blackhawks","CHI","15-16",82,4098.02,0.43,-0.4,0.0007,0.0046,0.02,-0.02,0.03,0.18,0.05,-0.15,-0.12,0.22,0
"Avalanche","COL","18-19",82,3952.47,0.12,-0.55,-0.004,-0.0028,0.01,-0.03,-0.17,-0.12,0.04,-0.05,0.09,-0.07,0
"Blackhawks","CHI","11-12",82,4091.08,2.04,-2.42,0.0007,0.0017,0.12,-0.14,0.03,0.06,0.25,-0.03,0.07,-0.3,-0.01
"Coyotes","ARI","13-14",82,4067.85,0.21,0.3,-0.0056,0.0002,0.01,0.02,-0.23,0.01,0,-0.24,0.06,0.18,-0.01
"Jets","WPG","16-17",82,4002.37,-1.77,-0.3,0.0051,0.0004,-0.1,-0.02,0.2,0.01,-0.08,0.18,0.11,-0.23,-0.01
"Oilers","EDM","20-21",56,2783.3,-1,0.45,-0.0006,-0.0025,-0.06,0.03,-0.02,-0.1,-0.09,0.08,0.19,-0.2,-0.01
