playerId,position,positionGeneral,league,leagueLevel,tradeId,regularGoalsAgainst,regularShotsAgainst,regularShutouts,regularSaves,regularWins,regularLosses,regularOtLosses,postseasonGoalsAgainst,postseasonShotsAgainst,postseasonSaves,postseasonShutouts,postseasonWins,postseasonLosses,postseasonOtLosses
152950,G,G,nhl,professional,973,1,13,0,12,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
811768,G,G,ahl,professional,546,153,1885,8,1732,39,15,14,1,15,14,0,0,1,0
47625,G,G,ahl,professional,705,40,577,2,537,16,5,0,26,341,315,0,4,6,0
42602,G,G,ahl,professional,1540,220,2549,1,2329,42,37,9,8,78,70,0,0,3,0
32290,G,G,nhl,professional,173,3,7,0,4,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59093,G,G,nhl,professional,708,5,12,0,7,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
813705,G,G,nhl,professional,53,139,1378,3,1239,15,25,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52015,G,G,nhl,professional,1836,74,721,2,647,9,13,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
144408,G,G,nhl,professional,1570,136,1447,1,1311,25,15,8,4,29,25,0,0,0,0
110452,G,G,nhl,professional,4365,67,715,2,648,12,8,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55225,G,G,nhl,professional,182,191,2110,1,1919,24,33,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
620029,G,G,nhl,professional,776,62,807,7,745,16,11,2,0,7,7,0,0,0,NULL
833348,G,G,nhl,professional,1486,139,1259,3,1120,25,17,4,4,20,16,0,0,0,NULL
829734,G,G,nhl,professional,1021,92,846,0,754,11,16,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
833108,G,G,nhl,professional,1412,257,2615,6,2358,35,40,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52253,G,G,nhl,professional,315,182,2000,3,1818,22,37,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
832143,G,G,nhl,professional,791,4,71,0,67,2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
701667,G,G,ahl,professional,1623,86,880,0,794,12,15,3,1,5,4,0,0,0,0
832203,G,G,ahl,professional,531,84,1039,0,955,15,15,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
811768,G,G,ahl,professional,879,153,1885,8,1732,39,15,14,1,15,14,0,0,1,0
47625,G,G,nhl,professional,705,49,539,2,490,7,8,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42602,G,G,nhl,professional,1540,27,315,0,288,3,7,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32290,G,G,nhl,professional,196,3,7,0,4,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59666,G,G,nhl,professional,622,116,1538,6,1422,28,16,5,10,58,48,0,0,1,NULL
389339,G,G,ahl,professional,1346,15,109,0,94,2,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60491,G,G,ahl,professional,393,194,2209,6,2015,39,27,9,16,104,88,0,1,3,NULL
74263,G,G,ahl,professional,302,191,1942,4,1751,40,24,12,8,55,47,0,0,2,NULL
388917,G,G,ahl,professional,2547,42,536,2,494,8,7,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
731302,G,G,nhl,professional,2095,283,3151,5,2868,47,43,12,41,541,500,1,10,6,NULL
832203,G,G,nhl,professional,531,85,921,0,836,10,16,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
811768,G,G,nhl,professional,546,13,109,0,96,2,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
608112,G,G,nhl,professional,2547,128,1390,0,1262,18,24,4,1,2,1,0,0,0,NULL
52072,G,G,nhl,professional,272,192,2558,7,2366,44,23,10,47,619,572,4,13,11,NULL
47629,G,G,ahl,professional,1104,6,55,0,49,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
833527,G,G,nhl,professional,438,159,1726,2,1567,23,28,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
141458,G,G,ahl,professional,285,212,2086,3,1874,34,34,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
56035,G,G,nhl,professional,231,54,399,0,345,1,12,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
184560,G,G,ahl,professional,1623,100,1067,1,967,19,16,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
388917,G,G,nhl,professional,2547,114,1069,2,955,11,19,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59091,G,G,ahl,professional,1152,114,1006,0,892,9,18,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
811768,G,G,nhl,professional,879,13,109,0,96,2,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59728,G,G,ahl,professional,345,210,2515,4,2305,43,29,12,27,292,265,0,3,6,0
47629,G,G,ahl,professional,3289,6,55,0,49,1,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
833527,G,G,nhl,professional,637,101,1098,2,997,14,19,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59091,G,G,ahl,professional,1261,114,1006,0,892,9,18,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60791,G,G,ahl,professional,2984,125,1274,0,1149,21,14,4,9,107,98,0,2,2,NULL
59728,G,G,nhl,professional,345,17,122,0,105,1,3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47629,G,G,nhl,professional,1104,60,563,0,503,10,6,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
145852,G,G,ahl,professional,1570,161,1858,1,1697,36,15,12,12,105,93,0,2,1,NULL
59091,G,G,nhl,professional,1152,144,1388,0,1244,11,21,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60791,G,G,nhl,professional,2984,25,192,0,167,2,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47629,G,G,nhl,professional,3289,200,1946,2,1746,20,31,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
145852,G,G,nhl,professional,1570,37,462,2,425,9,5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59091,G,G,nhl,professional,1261,144,1388,0,1244,11,21,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL
56036,G,G,nhl,professional,2331,262,3155,1,2893,42,47,9,19,185,166,0,2,4,NULL
164126,G,G,nhl,professional,1394,276,2790,1,2514,28,50,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
592973,G,G,ahl,professional,2067,17,211,0,194,4,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
592973,G,G,nhl,professional,2067,85,1001,4,916,20,11,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
