teamId,season,teamName,teamAbbreviation,conferenceAbbreviation,divisionName
194,2014,Philadelphia Flyers,PHI,E,Metropolitan
254,2014,Pittsburgh Penguins,PIT,E,Metropolitan
314,2014,Boston Bruins,BOS,E,Atlantic
374,2014,Buffalo Sabres,BUF,E,Atlantic
434,2014,Montréal Canadiens,MTL,E,Atlantic
494,2014,Ottawa Senators,OTT,E,Atlantic
554,2014,Toronto Maple Leafs,TOR,E,Atlantic
674,2014,Carolina Hurricanes,CAR,E,Metropolitan
734,2014,Florida Panthers,FLA,E,Atlantic
794,2014,Tampa Bay Lightning,TBL,E,Atlantic
854,2014,Washington Capitals,WSH,E,Metropolitan
914,2014,Chicago Blackhawks,CHI,W,Central
974,2014,Detroit Red Wings,DET,E,Atlantic
1034,2014,Nashville Predators,NSH,W,Central
1094,2014,St. Louis Blues,STL,W,Central
1154,2014,Calgary Flames,CGY,W,Pacific
1214,2014,Colorado Avalanche,COL,W,Central
1274,2014,Edmonton Oilers,EDM,W,Pacific
1334,2014,Vancouver Canucks,VAN,W,Pacific
1394,2014,Anaheim Ducks,ANA,W,Pacific
1454,2014,Dallas Stars,DAL,W,Central
1514,2014,Los Angeles Kings,LAK,W,Pacific
1574,2014,Phoenix Coyotes,ARI,W,Pacific
1634,2014,San Jose Sharks,SJS,W,Pacific
1694,2014,Columbus Blue Jackets,CBJ,E,Metropolitan
1754,2014,Minnesota Wild,MIN,W,Central
3074,2014,Winnipeg Jets,WPG,W,Central
14,2013,New Jersey Devils,NJD,E,Atlantic
74,2013,New York Islanders,NYI,E,Atlantic
134,2013,New York Rangers,NYR,E,Atlantic
194,2013,Philadelphia Flyers,PHI,E,Atlantic
254,2013,Pittsburgh Penguins,PIT,E,Atlantic
314,2013,Boston Bruins,BOS,E,Northeast
374,2013,Buffalo Sabres,BUF,E,Northeast
434,2013,Montréal Canadiens,MTL,E,Northeast
494,2013,Ottawa Senators,OTT,E,Northeast
554,2013,Toronto Maple Leafs,TOR,E,Northeast
